Ad_ID,Campaign_Name,Clicks,Impressions,Cost,Leads,Conversions,Conversion Rate,Sale_Amount,Ad_Date,Location,Device,Keyword
A1000,data analytics course,104,4498,231.88,14,7,0.058,1892,20241116,hyderabad,desktop,learn data analytics
A1001,data analytics course,173,5107,216.84,10,8,0.046,1679,20112024,hyderabad,mobile,data analytics course
A1002,data analytics course,90,4544,203.66,26,9,0.046,1624,20241116,hyderabad,desktop,data analytics online
A1003,data analytics course,142,3185,237.66,17,6,0.046,1225,20241126,hyderabad,tablet,data analytics training
A1004,data analytics course,156,3361,195.9,30,8,0.046,1091,20241122,hyderabad,desktop,online data analytics
A1005,data analytics course,195,3776,243.57,10,8,0.046,1315,16112024,hyderabad,mobile,data analytics training
A1006,data analytics course,116,4480,237.79,17,5,0.043,1640,6112024,hyderabad,tablet,data analytics course
A1007,data analytics course,184,5060,229.61,23,3,0.016,1509,20241124,hyderbad,tablet,analytics for data
A1008,data analytics course,113,5434,215.57,27,4,0.058,1362,20241124,hyderbad,tablet,data analytics training
A1009,data analytics course,166,3355,186.78,24,9,0.054,1029,20241112,hyderbad,mobile,online data analytics
A1010,data analytics course,101,5399,236.79,20,6,0.059,1900,14112024,hyderabad,desktop,learn data analytics
A1011,data analytics course,101,3613,208.12,24,5,0.05,1130,20241122,hyderabad,desktop,online data analytics
A1012,data analytics course,125,3259,191.3,18,3,0.024,1959,20241127,hyderabad,desktop,data analytics online
A1013,data analytics course,196,3742,207.46,10,7,0.038,1623,12112024,hyderabad,mobile,data analytics training
A1014,data analytics course,181,4311,185.09,11,9,0.05,1538,20241104,hyderbad,desktop,data analytics training
A1015,data analytics course,102,5461,201.69,22,8,0.078,1755,20241129,hyderabad,desktop,data analytics course
A1016,data analytics course,193,5159,215.57,15,9,0.047,1614,20241110,hyderabad,mobile,learn data analytics
A1017,data analytics course,149,4431,207.4,19,9,0.06,1693,12112024,hyderabad,mobile,learn data analytics
A1018,data analytics course,150,3113,217.41,20,5,0.046,1785,20241107,hyderabad,mobile,analytics for data
A1019,data analytics course,145,5278,215.57,25,6,0.041,1516,20241105,hyderabad,desktop,data analytics course
A1020,data analytics course,184,4143,223.3,10,10,0.044,1735,20241121,hyderbad,tablet,learn data analytics
A1021,data analytics course,171,4154,184.23,30,7,0.041,1803,20241108,hyderabad,tablet,data analytics online
A1022,data analytics course,122,5187,211.24,27,6,0.049,1322,20241120,hyderabad,desktop,online data analytics
A1023,data analytics course,188,5798,230.17,28,5,0.047,1452,30112024,hyderabad,tablet,data analytics course
A1024,data analytics course,87,3718,215.57,12,3,0.034,1652,20112024,hyderbad,tablet,learn data analytics
A1025,data analytics course,88,3349,181.92,22,8,0.091,1456,20241120,hyderabad,tablet,learn data analytics
A1026,data analytics course,119,5323,205.92,17,10,0.06,1656,20241102,hyderbad,desktop,online data analytics
A1027,data analytics course,0,5286,234.89,22,10,0.046,1688,20241121,hyderabad,desktop,data analytics training
A1028,data analytics course,128,5469,188.49,16,3,0.046,1783,20241123,hyderbad,mobile,learn data analytics
A1029,data analytics course,86,3351,237.75,21,9,0.105,1975,20241113,hyderabad,mobile,analytics for data
A1030,data analytics course,188,4834,213.58,15,4,0.021,1590,20241108,hyderbad,tablet,online data analytics
A1031,data analytics course,113,5065,212.37,11,5,0.046,1111,22112024,hyderabad,desktop,online data analytics
A1032,data analytics course,0,3872,244.38,20,4,0.046,1041,12112024,hyderabad,tablet,data analytics online
A1033,data analytics course,176,5509,234.59,19,7,0.054,1710,20241103,hyderbad,tablet,data analytics course
A1034,data analytics course,121,5610,214.96,23,8,0.046,1505,20241125,hyderabad,mobile,data analytics course
A1035,data analytics course,104,5275,236.48,16,9,0.031,1824,1112024,hyderabad,desktop,data analytics training
