Ad_ID,Campaign_Name,Clicks,Impressions,Cost,Leads,Conversions,Conversion Rate,Sale_Amount,Ad_Date,Location,Device,Keyword,CTR,CPC,ROAS
A1000,data analytics course,104,4498,231.88,14,7,0.058,1892,20241116,hyderabad,desktop,learn data analytics,0.023121387283236993,2.2296153846153848,8.159392789373815
A1001,data analytics course,173,5107,216.84,10,8,0.046,1679,20112024,hyderabad,mobile,data analytics course,0.033875073428627375,1.2534104046242776,7.743036340158643
A1002,data analytics course,90,4544,203.66,26,9,0.046,1624,20241116,hyderabad,desktop,data analytics online,0.019806338028169015,2.262888888888889,7.974074437788471
A1003,data analytics course,142,3185,237.66,17,6,0.046,1225,20241126,hyderabad,tablet,data analytics training,0.0445839874411303,1.673661971830986,5.154422283935033
A1004,data analytics course,156,3361,195.9,30,8,0.046,1091,20241122,hyderabad,desktop,online data analytics,0.046414757512645045,1.2557692307692307,5.569167942827973
A1005,data analytics course,195,3776,243.57,10,8,0.046,1315,16112024,hyderabad,mobile,data analytics training,0.051641949152542374,1.249076923076923,5.398858644332225
A1006,data analytics course,116,4480,237.79,17,5,0.043,1640,6112024,hyderabad,tablet,data analytics course,0.025892857142857145,2.0499137931034483,6.896841751124942
A1007,data analytics course,184,5060,229.61,23,3,0.016,1509,20241124,hyderabad,tablet,analytics for data,0.03636363636363636,1.2478804347826087,6.57201341404991
A1008,data analytics course,113,5434,215.57,27,4,0.058,1362,20241124,hyderabad,tablet,data analytics training,0.020794994479205006,1.9076991150442477,6.318133320963028
A1009,data analytics course,166,3355,186.78,24,9,0.054,1029,20241112,hyderabad,mobile,online data analytics,0.04947839046199702,1.1251807228915662,5.509155155798266
A1010,data analytics course,101,5399,236.79,20,6,0.059,1900,14112024,hyderabad,desktop,learn data analytics,0.018707167994072977,2.3444554455445545,8.023987499472106
A1011,data analytics course,101,3613,208.12,24,5,0.05,1130,20241122,hyderabad,desktop,online data analytics,0.027954608358704676,2.0605940594059406,5.4295598693061695
A1012,data analytics course,125,3259,191.3,18,3,0.024,1959,20241127,hyderabad,desktop,data analytics online,0.03835532371893219,1.5304,10.240460010454782
A1013,data analytics course,196,3742,207.46,10,7,0.038,1623,12112024,hyderabad,mobile,data analytics training,0.052378407268840195,1.0584693877551021,7.8231948327388405
A1014,data analytics course,181,4311,185.09,11,9,0.05,1538,20241104,hyderabad,desktop,data analytics training,0.041985618186035724,1.022596685082873,8.309471068129017
A1015,data analytics course,102,5461,201.69,22,8,0.078,1755,20241129,hyderabad,desktop,data analytics course,0.01867789782091192,1.9773529411764705,8.701472556894243
A1016,data analytics course,193,5159,215.57,15,9,0.047,1614,20241110,hyderabad,mobile,learn data analytics,0.03741035084318666,1.1169430051813471,7.487127151273368
A1017,data analytics course,149,4431,207.4,19,9,0.06,1693,12112024,hyderabad,mobile,learn data analytics,0.0336267208305123,1.3919463087248323,8.162970106075218
A1018,data analytics course,150,3113,217.41,20,5,0.046,1785,20241107,hyderabad,mobile,analytics for data,0.04818503051718599,1.4494,8.210293914723334
A1019,data analytics course,145,5278,215.57,25,6,0.041,1516,20241105,hyderabad,desktop,data analytics course,0.027472527472527472,1.4866896551724138,7.032518439486014
A1020,data analytics course,184,4143,223.3,10,10,0.044,1735,20241121,hyderabad,tablet,learn data analytics,0.044412261646150135,1.2135869565217392,7.769816390506045
A1021,data analytics course,171,4154,184.23,30,7,0.041,1803,20241108,hyderabad,tablet,data analytics online,0.041165142031776604,1.0773684210526315,9.786679693860934
A1022,data analytics course,122,5187,211.24,27,6,0.049,1322,20241120,hyderabad,desktop,online data analytics,0.023520339309812992,1.7314754098360656,6.258284415830335
A1023,data analytics course,188,5798,230.17,28,5,0.047,1452,30112024,hyderabad,tablet,data analytics course,0.032424974129010006,1.2243085106382978,6.308380762045445
A1024,data analytics course,87,3718,215.57,12,3,0.034,1652,20112024,hyderabad,tablet,learn data analytics,0.023399677245831092,2.477816091954023,7.663403998701118
A1025,data analytics course,88,3349,181.92,22,8,0.091,1456,20241120,hyderabad,tablet,learn data analytics,0.026276500447894893,2.067272727272727,8.003518029903255
A1026,data analytics course,119,5323,205.92,17,10,0.06,1656,20241102,hyderabad,desktop,online data analytics,0.022355814390381364,1.7304201680672269,8.041958041958042
A1027,data analytics course,0,5286,234.89,22,10,0.046,1688,20241121,hyderabad,desktop,data analytics training,0.0,inf,7.186342543318149
A1028,data analytics course,128,5469,188.49,16,3,0.046,1783,20241123,hyderabad,mobile,learn data analytics,0.02340464435911501,1.472578125,9.459387765929227
A1029,data analytics course,86,3351,237.75,21,9,0.105,1975,20241113,hyderabad,mobile,analytics for data,0.025663980901223515,2.76453488372093,8.307045215562566
A1030,data analytics course,188,4834,213.58,15,4,0.021,1590,20241108,hyderabad,tablet,online data analytics,0.03889118742242449,1.136063829787234,7.444517276898585
A1031,data analytics course,113,5065,212.37,11,5,0.046,1111,22112024,hyderabad,desktop,online data analytics,0.022309970384995065,1.8793805309734513,5.231435701841126
A1032,data analytics course,0,3872,244.38,20,4,0.046,1041,12112024,hyderabad,tablet,data analytics online,0.0,inf,4.259759391112202
A1033,data analytics course,176,5509,234.59,19,7,0.054,1710,20241103,hyderabad,tablet,data analytics course,0.03194772190960247,1.3328977272727274,7.289313269960356
A1034,data analytics course,121,5610,214.96,23,8,0.046,1505,20241125,hyderabad,mobile,data analytics course,0.021568627450980392,1.7765289256198349,7.001302567919613
A1035,data analytics course,104,5275,236.48,16,9,0.031,1824,1112024,hyderabad,desktop,data analytics training,0.019715639810426542,2.273846153846154,7.713125845737483
A1036,data analytics course,146,5939,242.9,11,8,0.035,1833,20241107,hyderabad,desktop,data analytics training,0.02458326317561879,1.6636986301369863,7.5463153561136265
A1037,data analytics course,123,5131,215.57,19,5,0.041,1307,9112024,hyderabad,mobile,learn data analytics,0.02397193529526408,1.75260162601626,6.062995778633391
A1038,data analytics course,90,5786,197.55,11,6,0.043,1704,16112024,hyderabad,mobile,online data analytics,0.015554787417905289,2.1950000000000003,8.625664388762338
A1039,data analytics course,171,4304,192.61,17,10,0.058,1427,20241126,hyderabad,mobile,learn data analytics,0.03973048327137547,1.126374269005848,7.408753439592959
A1040,data analytics course,94,5549,231.23,25,9,0.096,1849,20241112,hyderabad,mobile,data analytics training,0.016939989187240944,2.4598936170212764,7.996367253384077
A1041,data analytics course,112,4271,196.07,27,6,0.046,1209,20241114,hyderabad,desktop,data analytics online,0.026223366892999297,1.7506249999999999,6.16616514510124
A1042,data analytics course,113,4418,191.55,27,10,0.046,1634,20241109,hyderabad,mobile,data analytics course,0.02557718424626528,1.695132743362832,8.530409814669799
A1043,data analytics course,145,3721,180.95,21,7,0.048,1960,29112024,hyderabad,desktop,data analytics online,0.038968019349637194,1.2479310344827585,10.831721470019342
A1044,data analytics course,197,5783,204.46,23,6,0.046,1729,1112024,hyderabad,tablet,data analytics training,0.03406536399792495,1.0378680203045685,8.456421793993934
A1045,data analytics course,109,4866,236.78,27,5,0.046,1585,15112024,hyderabad,mobile,online data analytics,0.02240032881216605,2.1722935779816512,6.693977531886139
A1046,data analytics course,188,5857,222.98,20,4,0.048,1303,11112024,hyderabad,desktop,data analytics training,0.032098343862045416,1.186063829787234,5.843573414656023
A1047,data analytics course,142,5103,234.1,24,3,0.021,1835,20241108,hyderabad,mobile,analytics for data,0.02782676856750931,1.6485915492957746,7.838530542503204
A1048,data analytics course,168,4653,240.84,27,9,0.054,1367,20241124,hyderabad,mobile,online data analytics,0.036105738233397806,1.4335714285714285,5.675967447267896
A1049,data analytics course,110,3524,248.86,19,10,0.091,1524,21112024,hyderabad,mobile,learn data analytics,0.031214528944381384,2.2623636363636366,6.123925098448927
A1050,data analytics course,192,5938,182.84,26,5,0.039,1080,20241112,hyderabad,mobile,analytics for data,0.03233411923206467,0.9522916666666666,5.906803762852768
A1051,data analytics course,101,3942,206.62,16,5,0.05,1746,20241124,hyderabad,tablet,analytics for data,0.025621511922881784,2.045742574257426,8.4502952279547
A1052,data analytics course,157,3315,189.56,15,10,0.064,1026,20241125,hyderabad,mobile,online data analytics,0.0473604826546003,1.2073885350318472,5.412534289934586
A1053,data analytics course,113,4945,187.66,15,10,0.046,1564,20241126,hyderabad,tablet,learn data analytics,0.022851365015166835,1.66070796460177,8.33422146435042
A1054,data analytics course,96,3166,196.15,29,7,0.073,1902,26112024,hyderabad,desktop,learn data analytics,0.030322173089071383,2.043229166666667,9.696660718837624
A1055,data analytics course,125,4223,183.68,15,6,0.046,1267,20241105,hyderabad,desktop,data analytics online,0.029599810561212407,1.46944,6.897865853658536
A1056,data analytics course,104,4798,210.1,18,3,0.046,1340,21112024,hyderabad,desktop,analytics for data,0.021675698207586493,2.020192307692308,6.377915278438839
A1057,data analytics course,194,5655,208.58,13,6,0.031,1692,20241116,hyderabad,mobile,data analytics training,0.03430592396109638,1.0751546391752578,8.11199539744942
A1058,data analytics course,144,5140,219.48,19,8,0.047,1054,18112024,hyderabad,desktop,data analytics online,0.02801556420233463,1.5241666666666667,4.80225988700565
A1059,data analytics course,179,3025,238.81,17,3,0.017,1505,20241111,hyderabad,mobile,data analytics online,0.059173553719008266,1.3341340782122906,6.302081152380554
A1060,data analytics course,166,5223,189.76,18,7,0.042,1219,16112024,hyderabad,tablet,data analytics course,0.031782500478652116,1.1431325301204818,6.423903878583475
A1061,data analytics course,166,5089,215.57,26,7,0.042,1946,11112024,hyderabad,tablet,analytics for data,0.03261937512281391,1.2986144578313252,9.027230134063181
A1062,data analytics course,118,5016,204.31,19,9,0.045,1833,20241108,hyderabad,desktop,analytics for data,0.023524720893141945,1.7314406779661018,8.971660711663649
A1063,data analytics course,185,3617,222.32,24,7,0.038,1963,23112024,hyderabad,mobile,data analytics course,0.05114735969035112,1.2017297297297298,8.82961496941346
A1064,data analytics course,116,3764,232.03,28,10,0.086,1348,20241120,hyderabad,tablet,data analytics course,0.030818278427205102,2.0002586206896553,5.809593587036159
A1065,data analytics course,99,4489,183.73,15,6,0.061,1264,20241105,hyderabad,desktop,online data analytics,0.022053909556694142,1.8558585858585857,6.879660371196866
A1066,data analytics course,172,4441,221.18,14,8,0.047,1771,27112024,hyderabad,mobile,analytics for data,0.038730015762215714,1.2859302325581397,8.00705307894023
A1067,data analytics course,138,5751,199.11,26,9,0.052,1337,20241110,hyderabad,desktop,data analytics online,0.023995826812728223,1.442826086956522,6.714881221435387
A1068,data analytics course,84,4036,234.22,23,10,0.119,1287,4112024,hyderabad,desktop,learn data analytics,0.02081268582755203,2.788333333333333,5.494833916830331
A1069,data analytics course,124,4942,240.59,18,3,0.024,1922,20241116,hyderabad,desktop,learn data analytics,0.02509105625252934,1.940241935483871,7.988694459453843
A1070,data analytics course,122,4989,215.48,12,5,0.041,1975,20241106,hyderabad,mobile,data analytics online,0.024453798356384046,1.7662295081967212,9.165583812882867
A1071,data analytics course,180,3006,228.14,22,7,0.039,1556,20241104,hyderabad,tablet,learn data analytics,0.059880239520958084,1.2674444444444444,6.820373454896117
A1072,data analytics course,133,3728,199.13,11,10,0.046,1505,20241109,hyderabad,desktop,data analytics online,0.03567596566523605,1.497218045112782,7.5578767639230655
A1073,data analytics course,164,3734,225.39,27,8,0.04,1728,12112024,hyderabad,tablet,learn data analytics,0.04392072844134976,1.3743292682926829,7.666711034207374
A1074,data analytics course,150,4621,246.3,15,6,0.049,1554,20241109,hyderabad,desktop,data analytics online,0.032460506383899586,1.6420000000000001,6.309378806333739
A1075,data analytics course,97,3212,212.55,27,10,0.103,1994,23112024,hyderabad,desktop,analytics for data,0.030199252801992527,2.191237113402062,9.381322041872501
A1076,data analytics course,128,4225,228.24,30,4,0.031,1618,20241108,hyderabad,mobile,learn data analytics,0.03029585798816568,1.783125,7.089029092183666
A1077,data analytics course,99,4779,233.78,26,10,0.101,1086,20241105,hyderabad,desktop,online data analytics,0.02071563088512241,2.3614141414141416,4.645393104628283
A1078,data analytics course,86,5352,234.05,11,5,0.058,1364,20241109,hyderabad,tablet,online data analytics,0.016068759342301942,2.721511627906977,5.827814569536423
A1079,data analytics course,118,5405,187.28,25,7,0.058,1836,20241105,hyderabad,tablet,analytics for data,0.02183163737280296,1.5871186440677967,9.8035027765912
A1080,data analytics course,127,5430,199.13,14,6,0.047,1932,20241125,hyderabad,mobile,analytics for data,0.023388581952117862,1.5679527559055118,9.702204589966353
A1081,data analytics course,83,4808,241.35,20,7,0.084,1038,30112024,hyderabad,mobile,learn data analytics,0.017262895174708817,2.907831325301205,4.30080795525171
A1082,data analytics course,149,3587,217.53,23,8,0.046,1505,17112024,hyderabad,mobile,data analytics online,0.04153889043769166,1.4599328859060403,6.918585942168896
A1083,data analytics course,168,4683,215.28,30,8,0.048,1327,20241128,hyderabad,mobile,data analytics online,0.03587443946188341,1.2814285714285714,6.1640654031958375
A1084,data analytics course,112,5814,227.38,11,8,0.071,1467,20241103,hyderabad,tablet,analytics for data,0.019263845889232887,2.0301785714285714,6.451754771747735
A1085,data analytics course,123,3292,233.2,28,6,0.049,1174,20241119,hyderabad,desktop,data analytics training,0.037363304981773995,1.8959349593495933,5.034305317324185
A1086,data analytics course,174,4305,206.02,20,3,0.034,1057,20241123,hyderabad,desktop,learn data analytics,0.04041811846689895,1.1840229885057472,5.130569847587613
A1087,data analytics course,143,4368,215.57,27,7,0.049,1199,3112024,hyderabad,tablet,analytics for data,0.03273809523809524,1.5074825174825175,5.561998422786102
A1088,data analytics course,195,5935,209.68,23,9,0.046,1966,20241107,hyderabad,tablet,online data analytics,0.03285593934288121,1.0752820512820513,9.376192293017931
A1089,data analytics course,176,5847,241.04,13,6,0.034,1194,20241102,hyderabad,desktop,online data analytics,0.030100906447750982,1.3695454545454544,4.95353468304016
A1090,data analytics course,141,4851,227.39,28,5,0.046,1821,20241115,hyderabad,desktop,analytics for data,0.02906617192331478,1.6126950354609928,8.008267733849335
A1091,data analytics course,108,4710,204.16,19,10,0.093,1731,20241120,hyderabad,tablet,data analytics online,0.022929936305732482,1.8903703703703703,8.47864420062696
A1092,data analytics course,112,3345,215.57,11,6,0.047,1859,20241123,hyderabad,tablet,analytics for data,0.03348281016442452,1.924732142857143,8.623648930741755
A1093,data analytics course,0,5903,184.41,23,9,0.046,1188,20112024,hyderabad,tablet,online data analytics,0.0,inf,6.44216691068814
A1094,data analytics course,145,5004,216.45,22,5,0.034,1496,20241101,hyderabad,tablet,data analytics online,0.02897681854516387,1.492758620689655,6.911526911526912
A1095,data analytics course,183,3947,197.3,15,8,0.044,1645,20241114,hyderabad,desktop,data analytics training,0.04636432733721814,1.0781420765027323,8.337557019766852
A1096,data analytics course,113,3690,229.42,20,5,0.044,1915,20241128,hyderabad,tablet,learn data analytics,0.03062330623306233,2.0302654867256638,8.347136256647198
A1097,data analytics course,101,5943,187.32,27,6,0.059,1614,20241115,hyderabad,tablet,data analytics online,0.016994783779236074,1.8546534653465345,8.616271620755926
A1098,data analytics course,189,5357,222.5,24,3,0.05,1839,20241125,hyderabad,tablet,data analytics course,0.03528094082508867,1.1772486772486772,8.265168539325842
A1099,data analytics course,154,3596,236.14,30,9,0.058,1036,20241106,hyderabad,tablet,online data analytics,0.04282536151279199,1.5333766233766233,4.387227915643263
A1100,data analytics course,179,5162,246.76,16,5,0.05,1052,20241129,hyderabad,desktop,online data analytics,0.03467648198372724,1.3785474860335194,4.263251742583887
A1101,data analytics course,148,3747,244.41,18,8,0.054,1092,20241117,hyderabad,tablet,learn data analytics,0.03949826527888978,1.6514189189189188,4.467902295323432
A1102,data analytics course,177,4822,197.03,26,9,0.051,1909,20241104,hyderabad,mobile,online data analytics,0.03670676068021568,1.1131638418079095,9.688879866010252
A1103,data analytics course,119,5800,221.36,11,8,0.046,1505,29112024,hyderabad,desktop,analytics for data,0.020517241379310346,1.8601680672268908,6.798879653053849
A1104,data analytics course,89,3594,215.57,14,6,0.067,1026,20241115,hyderabad,tablet,data analytics course,0.02476349471341124,2.422134831460674,4.7594748805492415
A1105,data analytics course,146,4765,230.22,23,5,0.034,1944,20241128,hyderabad,tablet,analytics for data,0.030640083945435468,1.5768493150684932,8.444096950742768
A1106,data analytics course,109,4128,183.65,12,5,0.046,1505,20241130,hyderabad,desktop,data analytics online,0.02640503875968992,1.6848623853211009,8.194936019602505
A1107,data analytics course,159,5127,197.16,21,4,0.025,1867,20241103,hyderabad,tablet,learn data analytics,0.0310122878876536,1.24,9.469466423209576
A1108,data analytics course,144,5674,235.36,12,3,0.021,1505,20241122,hyderabad,desktop,analytics for data,0.02537892139584068,1.6344444444444446,6.394459551325628
A1109,data analytics course,122,3793,237.22,19,8,0.066,1842,20241120,hyderabad,tablet,online data analytics,0.03216451357764303,1.9444262295081967,7.76494393390102
A1110,data analytics course,112,4315,235.33,28,9,0.08,1116,20241108,hyderabad,mobile,data analytics course,0.025955967555040555,2.1011607142857143,4.742276802787575
