Hour,HouseUsage,Day
05,62.647783333999996,01
06,55.090016668000004,01
07,42.884166665,01
08,57.600766667,01
09,38.390183332,01
10,73.164966666,01
11,47.924833337,01
12,32.223283329,01
13,21.502600000999998,01
14,45.40321667,01
15,88.234833336,01
16,79.298183335,01
17,115.001316667,01
18,125.723383334,01
19,78.259400001,01
20,76.276699998,01
21,89.099183337,01
22,115.72579999999999,01
23,121.818900003,01
00,165.506316669,02
01,85.872016664,02
02,56.716999997,02
03,46.456266666,02
04,89.340383335,02
05,80.964083335,02
06,46.179233333,02
07,47.043283333,02
08,59.668033335,02
09,46.713949998,02
10,48.878833333,02
11,55.335899998,02
12,96.662316671,02
13,83.656850001,02
14,43.452599999,02
15,43.91285,02
16,17.214600002,02
17,15.62488333,02
18,37.827899997,02
19,97.488216667,02
20,106.03310000100001,02
21,129.434949997,02
22,175.454883339,02
23,176.082616667,02
00,104.280149994,03
01,124.431583333,03
02,96.725799997,03
03,47.900916662,03
04,59.874966666,03
05,42.819383334,03
06,52.151616666,03
07,54.292150001,03
08,47.43303333,03
09,47.604183332,03
10,49.079033335,03
11,52.664500001,03
12,74.702333335,03
13,44.331149994,03
14,41.185299997,03
15,42.911016669,03
16,74.015166667,03
17,68.495499998,03
18,47.014216668,03
19,46.575150002,03
20,82.298166666,03
21,113.174633336,03
22,123.161816667,03
23,114.006366665,03
00,97.656133336,04
01,92.320883331,04
02,65.766600001,04
03,42.027899999,04
04,55.54405,04
05,33.552433332999996,04
06,45.164516667,04
07,40.171450002,04
08,55.546099997,04
09,47.854033332,04
10,72.912483336,04
11,61.351200003,04
12,40.48165,04
13,34.142866663999996,04
14,67.210383331,04
15,96.7337,04
16,65.72058333,04
17,59.009150002,04
18,37.432233333999996,04
19,28.510516668,04
20,38.368533334,04
21,73.64245,04
22,123.804616665,04
23,125.76155,04
00,78.935616667,05
01,115.639983335,05
02,141.610566666,05
03,143.353650001,05
04,102.22953333,05
05,87.201766664,05
06,79.819116667,05
07,61.866133334,05
08,59.463133333,05
09,68.476850002,05
10,82.136900001,05
11,72.871783334,05
12,77.430616665,05
13,63.447050001,05
14,37.510483333,05
15,31.461983333,05
16,30.189933333,05
17,12.479583335,05
18,15.662249999999998,05
19,17.341033334,05
20,23.090516665,05
21,56.741033334,05
22,76.224916669,05
23,62.784433332,05
00,71.658450001,06
01,65.451133331,06
02,56.590716668,06
03,81.169933331,06
04,62.649466663,06
05,64.839316666,06
06,57.021750006,06
07,57.862366665,06
08,56.008466668,06
09,59.555433335000004,06
10,86.952566666,06
11,85.1694,06
12,71.779733335,06
13,43.587116666,06
14,44.252933337,06
15,22.085733332,06
16,21.737099996999998,06
17,18.957349996999998,06
18,8.481400001999999,06
19,9.912416667999999,06
20,16.434466669,06
21,42.973183332,06
22,32.739850002,06
23,129.39241667,06
00,121.574983334,07
01,124.318949996,07
